Date,PRICE
01-01-1990,3687.52
01-02-1990,3534.78
01-03-1990,3520.7
01-04-1990,3416.5
01-05-1990,3431.4
01-06-1990,3314.35
01-07-1990,3284.8
01-08-1990,3414.71
01-09-1990,3409.05
01-10-1990,3490.76
01-11-1990,3460.52
01-12-1990,3453.2
01-01-1991,4930.84
01-02-1991,4737.79
01-03-1991,4247.79
01-04-1991,3583.35
01-05-1991,3750.77
01-06-1991,3733.87
01-07-1991,4065.54
01-08-1991,4187.08
01-09-1991,4246.48
01-10-1991,4491.28
01-11-1991,4713.55
01-12-1991,4883.2
01-01-1992,3977.24
01-02-1992,4027.1
01-03-1992,4094.39
01-04-1992,4497.18
01-05-1992,4176.77
01-06-1992,4110.15
01-07-1992,4136.55
01-08-1992,4094
01-09-1992,4086.13
01-10-1992,4079
01-11-1992,3998.61
01-12-1992,3966.81
01-01-1993,4659.04
01-02-1993,4606.21
01-03-1993,4598.19
01-04-1993,4331.27
01-05-1993,4518.5
01-06-1993,4468.2
01-07-1993,4564.59
01-08-1993,4526.57
01-09-1993,4401.63
01-10-1993,4483.64
01-11-1993,4587.09
01-12-1993,4637.46
01-01-1994,4700.83
01-02-1994,4681.64
01-03-1994,4660.65
01-04-1994,4641.04
01-05-1994,4665.38
01-06-1994,4593.58
01-07-1994,4597.42
01-08-1994,4602.83
01-09-1994,4682.17
01-10-1994,4755.16
01-11-1994,4748.48
01-12-1994,4677.7
01-01-1995,5301.2
01-02-1995,5452.96
01-03-1995,5199.55
01-04-1995,4804.9
01-05-1995,4795.19
01-06-1995,4731.27
01-07-1995,4689.15
01-08-1995,4687.05
01-09-1995,4777.26
01-10-1995,4956.06
01-11-1995,5038.58
01-12-1995,5058.08
01-01-1996,4896.04
01-02-1996,4826.04
01-03-1996,4788.7
01-04-1996,5219.87
01-05-1996,5286
01-06-1996,5110.8
01-07-1996,5114.19
01-08-1996,5166.67
01-09-1996,5133.25
01-10-1996,5136.8
01-11-1996,5139.78
01-12-1996,5030.4
01-01-1997,4008.54
01-02-1997,3995
01-03-1997,3995.43
01-04-1997,4788.33
01-05-1997,4784.8
01-06-1997,4640.6
01-07-1997,4468.8
01-08-1997,4511.5
01-09-1997,4441.52
01-10-1997,4399.6
01-11-1997,4135.68
01-12-1997,3995
01-01-1998,4347
01-02-1998,4357
01-03-1998,4330
01-04-1998,4210
01-05-1998,4143
01-06-1998,4215
01-07-1998,4271
01-08-1998,4189
01-09-1998,4234
01-10-1998,4336
01-11-1998,4306
01-12-1998,4280
01-01-1999,4508.91
01-02-1999,4706.74
01-03-1999,4541.6
01-04-1999,4389.4
01-05-1999,4313.6
01-06-1999,4108.65
01-07-1999,4051.4
01-08-1999,4086.6
01-09-1999,4178.57
01-10-1999,4748.96
01-11-1999,4615.24
01-12-1999,4473
01-01-2000,4465.58
01-02-2000,4369.57
01-03-2000,4268.6
01-04-2000,4460
01-05-2000,4473.6
01-06-2000,4521.15
01-07-2000,4529.2
01-08-2000,4516.25
01-09-2000,4518.13
01-10-2000,4537.61
01-11-2000,4482.69
01-12-2000,4540.8
01-01-2001,4692.69
01-02-2001,4901.04
01-03-2001,4920.21
01-04-2001,4267.17
01-05-2001,4440.58
01-06-2001,4400.2
01-07-2001,4379.58
01-08-2001,4448.64
01-09-2001,4631.3
01-10-2001,4687.6
01-11-2001,4603.96
01-12-2001,4576.46
01-01-2002,5752.04
01-02-2002,5771.3
01-03-2002,5432.71
01-04-2002,5040.63
01-05-2002,5225.8
01-06-2002,5313.2
01-07-2002,5187.5
01-08-2002,5129.2
01-09-2002,5239.05
01-10-2002,5210.4
01-11-2002,5242.92
01-12-2002,5443.6
01-01-2003,6179.04
01-02-2003,6017.73
01-03-2003,5986.48
01-04-2003,5191.6
01-05-2003,5560.77
01-06-2003,5509.4
01-07-2003,5362.5
01-08-2003,5462.17
01-09-2003,5718.4
01-10-2003,5695.19
01-11-2003,5850
01-12-2003,6094.07
